code,first_name,second_name,web_name,16-17
42774,Morgan,Schneiderlin,Schneiderlin,264
15208,Bastian,Schweinsteiger,Schweinsteiger,265
109322,Jesse,Lingard,Lingard,266
148225,Anthony,Martial,Martial,267
57249,Henrikh,Mkhitaryan,Mkhitaryan,268
13017,Wayne,Rooney,Rooney,269
112139,James,Wilson,Wilson,270
176297,Marcus,Rashford,Rashford,271
9808,Zlatan,Ibrahimovic,Ibrahimovic,272
19101,Dimitrios,Konstantopoulos,Konstantopoulos,273
12496,Víctor,Valdés,Valdés,274
75880,Daniel,Ayala,Ayala,275
40202,George,Friend,Friend,276
169061,Dael,Fry,Fry,277
83312,Ben,Gibson,Gibson,278
48771,Emilio,Nsue Lopez,Nsue,279
55317,Bernardo,Espinosa Zúñiga,Bernardo,280
49773,Albert,Adomah,Adomah,281
12002,Stewart,Downing,Downing,282
59044,Adam,Clayton,Clayton,283
10460,Grant,Leadbitter,Leadbitter,284
96778,Adam,Reach,Reach,285
80179,Adam,Forshaw,Forshaw,286
153601,Carlos,De Pena,De Pena,287
169535,Julien,de Sart,de Sart,288
123125,Viktor,Fischer,Fischer,289
82428,Marten,de Roon,de Roon,290
12744,David,Nugent,Nugent,291
20047,Jordan,Rhodes,Rhodes,292
49464,Cristhian,Stuani,Stuani,293
40383,Fraser,Forster,Forster,294
102884,Paulo,Gazzaniga,Gazzaniga,295
40146,Ryan,Bertrand,Bertrand,296
38580,Jose,Fonte,Fonte,297
80447,Maya,Yoshida,Yoshida,298
169359,Matt,Targett,Targett,299
84395,Florin,Gardos,Gardos,300
58822,Cédric,Soares,Cédric,301
56192,Cuco,Martina,Martina,302
97032,Virgil,van Dijk,van Dijk,303
83283,Nathan,Redmond,Redmond,304
17339,Steven,Davis,Davis,305
101178,James,Ward-Prowse,Ward-Prowse,306
153366,Harrison,Reed,Reed,307
62399,Dusan,Tadic,Tadic,308
85654,Jordy,Clasie,Clasie,309
78056,Oriol,Romeu Vidal,Oriol Romeu,310
44683,Jay,Rodriguez,Rodriguez,311
132015,Pierre-Emile,Højbjerg,Højbjerg,312
20452,Shane,Long,Long,313
78356,Charlie,Austin,Austin,314
1822,Shay,Given,Given,315
105666,Jack,Butland,Butland,316
112316,Jakob,Haugaard,Haugaard,317
37869,Ryan,Shawcross,Shawcross,318
32318,Marc,Wilson,Marc Wilson,319
50089,Geoff,Cameron,Cameron,320
39487,Erik,Pieters,Pieters,321
61595,Marc,Muniesa,Muniesa,322
17997,Phil,Bardsley,Bardsley,323
69960,Philipp,Wollscheid,Wollscheid,324
9047,Glen,Johnson,Johnson,325
155706,Dionatan do Nascimento,Teixeira,Teixeira,326
20481,Stephen,Ireland,Ireland,327
20208,Charlie,Adam,Adam,328
12150,Glenn,Whelan,Whelan,329
12813,Jonathan,Walters,Walters,330
41464,Marko,Arnautovic,Arnautovic,331
19568,Ibrahim,Afellay,Afellay,332
68312,Xherdan,Shaqiri,Shaqiri,333
102738,Giannelli,Imbula,Imbula,334
40276,Bojan,Krkic,Bojan,335
3773,Peter,Crouch,Crouch,336
61858,Mame Biram,Diouf,Diouf,337
61316,Jose Luis,Mato Sanmartín,Joselu,338
20487,Vito,Mannone,Mannone,339
111234,Jordan,Pickford,Pickford,340
37742,Younes,Kaboul,Kaboul,341
3736,John,O'Shea,O'Shea,342
11467,Billy,Jones,Jones,343
74230,Patrick,van Aanholt,van Aanholt,344
60794,Adam,Matthews,Matthews,345
45076,Lamine,Koné,Koné,346
57736,Jan,Kirchhoff,Kirchhoff,347
28448,Lee,Cattermole,Cattermole,348
19057,Sebastian,Larsson,Larsson,349
49384,Jack,Rodwell,Rodwell,350
39187,Jeremain,Lens,Lens,351
60165,Wahbi,Khazri,Khazri,352
115854,Duncan,Watmore,Watmore,353
77454,Fabio,Borini,Borini,354
7958,Jermain,Defoe,Defoe,355
37096,Lukasz,Fabianski,Fabianski,356
61760,Kristoffer,Nordfeldt,Nordfeldt,357
49539,Kyle,Naughton,Naughton,358
19159,Ashley,Williams,Williams,359
47390,Neil,Taylor,Taylor,360
42996,Angel,Rangel,Rangel,361
80789,Jordi,Amat,Amat,362
57145,Federico,Fernández,Fernández,363
55313,Franck,Tabanou,Tabanou,364
96306,Stephen,Kingsley,Kingsley,365
97615,Mike,van der Hoorn,van der Hoorn,366
40145,Jack,Cork,Cork,367
55422,Gylfi,Sigurdsson,Sigurdsson,368
11829,Wayne,Routledge,Routledge,369
15114,Leon,Britton,Britton,370
96305,Jay,Fulton,Fulton,371
76542,Sung-yueng,Ki,Ki Sung-yueng,372
49195,Jefferson,Montero,Montero,373
45124,André,Ayew,Ayew,374
49277,Leroy,Fer,Fer,375
21083,Nathan,Dyer,Dyer,376
37998,Bafétimbi,Gomis,Gomis,377
39270,Marvin,Emnes,Emnes,378
111787,Modou,Barrow,Barrow,379
37915,Hugo,Lloris,Lloris,380
39215,Michel,Vorm,Vorm,381
55605,Toby,Alderweireld,Alderweireld,382
38290,Danny,Rose,Rose,383
58621,Kyle,Walker,Walker,384
39194,Jan,Vertonghen,Vertonghen,385
115556,Ben,Davies,Davies,386
77794,Kieran,Trippier,Trippier,387
97485,Kevin,Wimmer,Wimmer,388
151119,DeAndre,Yedlin,Yedlin,389
93264,Eric,Dier,Dier,390
39104,Mousa,Dembélé,Dembélé,391
54908,Nacer,Chadli,Chadli,392
62974,Erik,Lamela,Lamela,393
80607,Christian,Eriksen,Eriksen,394
