code,first_name,second_name,web_name,id
158534,Kyle,Walker-Peters,Walker-Peters,358
173904,Davinson,Sánchez,Sánchez,359
80226,Serge,Aurier,Aurier,360
93264,Eric,Dier,Dier,361
39104,Mousa,Dembélé,Dembélé,362
62974,Erik,Lamela,Lamela,363
80607,Christian,Eriksen,Eriksen,364
108823,Bamidele,Alli,Alli,365
54756,Victor,Wanyama,Wanyama,366
85971,Heung-Min,Son,Son,367
157668,Harry,Winks,Winks,368
45268,Moussa,Sissoko,Sissoko,369
95715,Lucas,Rodrigues Moura da Silva,Lucas Moura,370
19760,Fernando,Llorente,Llorente,371
78830,Harry,Kane,Kane,372
18656,Heurelho,Gomes,Gomes,373
206882,Pontus,Dahlberg,Dahlberg,374
37742,Younes,Kaboul,Kaboul,375
41338,Craig,Cathcart,Cathcart,376
41945,Sebastian,Prödl,Prödl,377
40868,José,Holebas,Holebas,378
52153,Miguel,Britos,Britos,379
85624,Christian,Kabasele,Kabasele,380
52940,Daryl,Janmaat,Janmaat,381
20145,Adrian,Mariappa,Mariappa,382
54484,Francisco,Femenía Far,Kiko Femenía,383
66247,Marvin,Zeegelaar,Zeegelaar,384
220166,Marc,Navarro,Navarro,385
155651,Adam,Masina,Masina,386
89085,Nathaniel,Chalobah,Chalobah,387
43250,Tom,Cleverley,Cleverley,388
38439,Etienne,Capoue,Capoue,389
121599,Abdoulaye,Doucouré,Doucouré,390
61566,Roberto,Pereyra,Pereyra,391
108413,Will,Hughes,Hughes,392
212319,Richarlison,de Andrade,Richarlison,393
94924,Gerard,Deulofeu,Deulofeu,394
73426,Andre,Gray,Gray,395
41725,Troy,Deeney,Deeney,396
20046,Stefano,Okaka,Okaka,397
133801,Jerome,Sinclair,Sinclair,398
60706,Adrián,San Miguel del Castillo,Adrián,399
37096,Lukasz,Fabianski,Fabianski,400
48717,Winston,Reid,Reid,401
55459,Aaron,Cresswell,Cresswell,402
40669,Angelo,Ogbonna,Ogbonna,403
113564,Sam,Byram,Byram,404
20658,Pablo,Zabaleta,Zabaleta,405
204480,Declan,Rice,Rice,406
173792,Reece,Oxford,Oxford,407
81012,Ryan,Fredericks,Fredericks,408
219924,Issa,Diop,Diop,409
105717,Arthur,Masuaku,Masuaku,410
18073,Mark,Noble,Noble,411
55037,Cheikhou,Kouyaté,Kouyaté,412
59779,Pedro,Obiang,Obiang,413
86934,Manuel,Lanzini,Lanzini,414
57531,Michail,Antonio,Antonio,415
163526,Edimilson,Fernandes,Fernandes,416
41464,Marko,Arnautovic,Arnautovic,417
40142,Andy,Carroll,Carroll,418
