code,first_name,second_name,web_name,fbref
37402,Christian,Fuchs,Fuchs,a67a09fb
37572,Sergio,Agüero,Agüero,4d034881
37605,Mesut,Özil,Özil,16380240
37614,Mario,Vrancic,Vrancic,16fa6881
37642,Jonny,Evans,Evans,f8fcd2a5
37742,Younes,Kaboul,Kaboul,3680d723
37748,Bacary,Sagna,Sagna,6ef56efd
37869,Ryan,Shawcross,Shawcross,285a3d44
37901,Dimitri,Payet,Payet,58ae47b2
37915,Hugo,Lloris,Lloris,8f62b6ee
37998,Bafétimbi,Gomis,Gomis,3d6686f9
38038,Ben,Hamer,Hamer,d822a850
38290,Danny,Rose,Rose,89d10e53
38411,Nacho,Monreal,Monreal,d4cb83cc
38419,Loïc,Remy,Remy,5c2da10f
38439,Etienne,Capoue,Capoue,5acc4a10
38454,Dejan,Lovren,Lovren,1a2935f6
38490,Beram,Kayal,Kayal,26679cdf
38499,Tomer,Hemed,Hemed,27d7453c
38533,Rui Pedro,dos Santos Patrício,Patrício,79b0d6a0
38580,Jose,Fonte,Fonte,90f87966
38588,Gaetano,Berardi,Berardi,5348aada
38716,Lee,Peltier,Peltier,af341b88
39104,Mousa,Dembélé,Dembélé,f7ee69fb
39155,Adam,Lallana,Lallana,99813635
39158,Scott,Arfield,Arfield,b1313ec4
39167,Andrea,Ranocchia,Ranocchia,539230cf
39187,Jeremain,Lens,Lens,6f1721f0
39194,Jan,Vertonghen,Vertonghen,ba23a904
39215,Michel,Vorm,Vorm,1bebde9d
39253,Jonas,Olsson,Olsson,48844a9b
39270,Marvin,Emnes,Emnes,a5900d91
39472,Dieumerci,Mbokani,Mbokani,d9847696
39476,Sokratis,Papastathopoulos,Sokratis,b682dcf6
39487,Erik,Pieters,Pieters,1ef37668
39725,Anders,Lindegaard,Lindegaard,636f1a28
39790,Francisco,Casilla Cortés,Casilla,58bc7d18
39847,Steven,Defour,Defour,73489527
40002,Matteo,Darmian,Darmian,96e0490d
40142,Andy,Carroll,Carroll,b581987a
40145,Jack,Cork,Cork,74e12f1e
40146,Ryan,Bertrand,Bertrand,01226327
40202,George,Friend,Friend,4f97147d
40232,Gonzalo,Higuaín,Higuaín,8a08491a
40276,Bojan,Krkic Perez,Bojan,9fa0a0b8
40346,Erwin,Mulder,Mulder,b3576b7c
40349,Asmir,Begović,Begović,7b4de647
40383,Fraser,Forster,Forster,c3e39f12
40386,Chris,Basham,Basham,1aa84968
40387,Dan,Gosling,Gosling,7fec31a0
40399,Sam,Vokes,Vokes,1d6ac165
40451,Anthony,Pilkington,Pilkington,b31af577
40555,Joe,Allen,Allen,9feb8f24
40559,Fabricio,Agosto Ramírez,Fabri,af245161
40564,Henri,Lansbury,Lansbury,fe8e6fa1
40616,Stephen,Ward,Ward,3831b9fe
40669,Angelo,Ogbonna,Ogbonna,74b2cd7e
40694,Roberto,Jimenez Gago,Roberto,ba3ca78f
40720,Edinson,Cavani,Cavani,527f063d
40725,Danny,Simpson,Simpson,3201b03d
40755,Daniel,Sturridge,Sturridge,1b7ec703
40772,Gökhan,Inler,Inler,3200c583
40784,Mamadou,Sakho,Sakho,87935cf3
40833,Jérémy,Pied,Pied,a634b9d2
40836,Vicente,Guaita,Guaita,ab13a5aa
40845,Dale,Stephens,Stephens,653ee42d
40868,José,Holebas,Holebas,12aa7661
41135,Branislav,Ivanovic,Ivanovic,85f8571a
41184,Marouane,Fellaini,Fellaini,87575fd9
41251,Eduardo,dos Reis Carvalho,Eduardo,81b906e7
41270,David,Luiz Moreira Marinho,David Luiz,c0e27d1a
41320,Charlie,Daniels,Daniels,9d107085
41321,Yohan,Benalouane,Benalouane,8309b068
41328,César,Azpilicueta,Azpilicueta,53cad200
41338,Craig,Cathcart,Cathcart,89e4b358
41464,Marko,Arnautovic,Arnautovic,00459419
41674,Kevin,Long,Long,5a4280b1
41705,Bradley,Guzan,Guzan,d899e3bf
41725,Troy,Deeney,Deeney,82e34b69
41727,Ryan,Bennett,Bennett,0bad4516
41733,Georginio,Wijnaldum,Wijnaldum,eb58eef0
41792,Aaron,Ramsey,Ramsey,ef619b0b
41823,Fabian,Delph,Delph,111c3236
41926,Almen,Abdi,Abdi,8d425d84
41945,Sebastian,Prödl,Prödl,f5e6d08d
42427,Kieran,Gibbs,Gibbs,46ee5234
42493,Mario,Balotelli,Balotelli,8ff07990
42525,Stephen,Henderson,Henderson,f234c188
42564,Eric Maxim,Choupo-Moting,Choupo-Moting,0e6bc38c
42583,Sébastien,Pocognoli,Pocognoli,cc41eec1
42593,Aleksandar,Kolarov,Kolarov,eda40760
42727,Yoan,Gouffran,Gouffran,a28d181a
42738,Juan,Zuñiga,Zuñiga,06b34f37
42748,Gaëtan,Bong,Bong,cfd5e123
42774,Morgan,Schneiderlin,Schneiderlin,51b41c5c
42786,Eden,Hazard,Hazard,a39bb753
42824,Carlos,Sánchez,Carlos Sánchez,50b51fac
42892,Álvaro,Negredo,Negredo,63b0ca6b
42899,Sergio,Romero,Romero,1e26e376
42996,Angel,Rangel,Rangel,93ee387c
43020,Javier,Hernández Balcázar,Chicharito,189cee7b
43191,Leiva,Lucas,Lucas,4c78b5ed
43250,Tom,Cleverley,Cleverley,6cdd8245
43252,James,Chester,Chester,a772eba6
43521,Henri,Saivet,Saivet,f3709655
43626,Håvard,Nordtveit,Nordtveit,6cafd68d
43670,Juan,Mata,Mata,29733c72
43693,Martín,Cáceres,Cáceres,e94d79e3
43808,Markus,Suttner,Suttner,7391c2d9
44302,Adlène,Guédioura,Guédioura,f75825e3
44336,Sofiane,Feghouli,Feghouli,691f64f5
44343,Bakary,Sako,Sako,381d7d54
44346,Olivier,Giroud,Giroud,16ceb862
44413,Steve,Mandanda,Mandanda,1d2d5cc8
44604,Nordin,Amrabat,Amrabat,7c2a398c
44683,Jay,Rodriguez,Rodriguez,4ab53cdb
44699,Ashley,Barnes,Barnes,2691c772
45034,Ivan,Perišić,Perišić,6fe90922
45076,Lamine,Koné,Koné,a46472d0
45124,André,Ayew,André Ayew,5dbefa9d
45196,Gary,Madine,Madine,e3e6502a
45220,Alex,Smithies,Smithies,bb91617c
45268,Moussa,Sissoko,Sissoko,2acd49b9
46483,Adrien,Silva,Silva,d6f88a1d
46695,Ritchie,de Laet,de Laet,dc234f98
47247,John,Fleck,Fleck,b63e789d
47390,Neil,Taylor,Taylor,c2f9d19f
47431,Willian,Borges Da Silva,Willian,8b9ebd03
48332,Orestis,Karnezis,Karnezis,85b011bb
48615,Harry,Arter,Arter,2f4c5a52
48717,Winston,Reid,Reid,562eed5c
48760,Mathias,Jorgensen,Zanka,0db5d2c8
48771,Emilio,Nsue Lopez,Nsue,1c9bc4fa
48773,Siem,de Jong,de Jong,cf2a6ace
48844,David,Ospina,Ospina,82b1198a
48860,Niki,Mäenpää,Mäenpää,14a96e1c
49013,Victor,Moses,Moses,e726e11e
49083,Luke,Freeman,Freeman,636b64cd
49195,Jefferson,Montero,Montero,fa6561bf
49202,Sean,Scannell,Scannell,7ab42a5e
49207,Rudy,Gestede,Gestede,822b3ef9
49262,Jason,Steele,Steele,28300a16
49277,Leroy,Fer,Fer,3cefa66a
49382,Bruno,Ecuele Manga,Ecuele Manga,72a0fb65
49384,Jack,Rodwell,Rodwell,a07579ee
49413,James,Tomkins,Tomkins,e7ca0439
49438,Jordon,Mutch,Mutch,37c408cc
49440,Hal,Robson-Kanu,Robson-Kanu,fb2dec57
49464,Cristhian,Stuani,Stuani,220c11f1
49539,Kyle,Naughton,Naughton,e860c42f
49579,Pedro,Rodríguez Ledesma,Pedro,3ca7254a
49688,Alfred,N'Diaye,N'Diaye,7789bf63
49696,Mauro,Zárate,Zárate,cc18ff4c
49773,Albert,Adomah,Adomah,c7174e81
49806,David Junior,Hoilett,Hoilett,33af5b9e
49845,Aron,Gunnarsson,Gunnarsson,e2533c20
49944,Jake,Livermore,Livermore,b98570d1
49957,Kamil,Grosicki,Grosicki,81d8091f
49982,Sean,Morrison,Morrison,09fec029
50089,Geoff,Cameron,Cameron,1a160ea3
