code,first_name,second_name,web_name,understat
19812,Dusan,Kuciak,Kuciak,1772.0
19838,Robert,Elliot,Elliot,763.0
20037,Marc,Pugh,Pugh,466.0
20046,Stefano,Okaka,Okaka,1763.0
20047,Jordan,Rhodes,Rhodes,1714.0
20066,Wayne,Hennessey,Hennessey,509.0
20145,Adrian,Mariappa,Mariappa,524.0
20208,Charlie,Adam,Adam,873.0
20310,Willy,Caballero,Caballero,624.0
20399,Antonio,Barragán,Barragán,1706.0
20452,Shane,Long,Long,839.0
20467,Theo,Walcott,Walcott,503.0
20480,Tim,Krul,Krul,982.0
20481,Stephen,Ireland,Ireland,867.0
20487,Vito,Mannone,Mannone,726.0
20529,Glenn,Murray,Murray,882.0
20658,Pablo,Zabaleta,Zabaleta,610.0
20664,David,Silva,David Silva,617.0
20669,Shaun,MacDonald,MacDonald,471.0
20695,Antonio,Valencia,Valencia,627.0
21083,Nathan,Dyer,Dyer,783.0
21123,Valon,Behrami,Behrami,570.0
21205,Tom,Heaton,Heaton,1651.0
21246,Lewis,Grabban,Grabban,467.0
26719,Rene,Gilmartin,Gilmartin,969.0
26901,Kevin,Mirallas,Mirallas,595.0
26921,Arouna,Koné,Koné,601.0
27334,Mathieu,Debuchy,Debuchy,967.0
27335,Stephan,Lichtsteiner,Lichtsteiner,1303.0
27341,Yohan,Cabaye,Cabaye,516.0
27436,David,McGoldrick,McGoldrick,7711.0
27462,Jesús,Gámez Duarte,Gámez,2329.0
27698,Matthew,Connolly,Connolly,7237.0
27707,Darron,Gibson,Gibson,921.0
27770,Birkir,Bjarnason,Bjarnason,8269.0
27789,Fernando,Luiz Rosa,Fernandinho,614.0
28082,Ralf,Fahrmann,Fahrmann,330.0
28147,Mohamed,Diamé,Diamé,4471.0
28160,Mario,Suárez,Suárez,576.0
28244,George,Boyd,Boyd,1656.0
28411,Keylor,Navas,Navas,2243.0
28448,Lee,Cattermole,Cattermole,738.0
28462,Sam,Baldock,Baldock,6430.0
28468,Craig,Gardner,Gardner,812.0
28495,John Obi,Mikel,Mikel,685.0
28541,Fraizer,Campbell,Campbell,634.0
28554,Samir,Nasri,Nasri,877.0
28593,Victor,Anichebe,Anichebe,818.0
28609,Adam,Legzdins,Legzdins,6302.0
28654,Martin,Olsson,Olsson,798.0
28690,Pablo,Hernández Domínguez,Hernández,2164.0
32259,Darren,Randolph,Randolph,540.0
32318,Marc,Wilson,Marc Wilson,945.0
33148,Claudio,Bravo,Bravo,1731.0
33871,Ragnar,Klavan,Klavan,265.0
34654,Lukas,Jutkiewicz,Jutkiewicz,1664.0
36903,Gareth,Bale,Bale,2251.0
37002,Rouwen,Hennings,Hennings,7060.0
37096,Lukasz,Fabianski,Fabianski,706.0
