code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
28448,Lee,Cattermole,Cattermole,348,,,,,,,738,538e77d5
28462,Sam,Baldock,Baldock,,73,64,,,,,6430,9d597f08
28468,Craig,Gardner,Gardner,440,,,,,,,812,1117b9ff
28495,John Obi,Mikel,Mikel,89,,,,,,,685,424d5f72
28541,Fraizer,Campbell,Campbell,121,,,,,,,634,81d63375
28554,Samir,Nasri,Nasri,229,,569,,,,,877,165bed61
28593,Victor,Anichebe,Anichebe,575,,,,,,,818,4aed5c19
28609,Adam,Legzdins,Legzdins,,545,,,,,,,f5b114ca
28654,Martin,Olsson,Olsson,633,358,,,,,,798,2f72f79e
28690,Pablo,Hernández Domínguez,Hernández,,,,,193,182,,2164,c0398aca
32259,Darren,Randolph,Randolph,451,439,,606,430,407,,540,6385ebfb
32318,Marc,Wilson,Marc Wilson,319,,,,,,,945,c325c010
33148,Claudio,Bravo,Bravo,541,241,261,213,267,,,1731,10072610
33871,Ragnar,Klavan,Klavan,474,220,244,,,,,265,008a6e6d
34654,Lukas,Jutkiewicz,Jutkiewicz,69,,,,,,,1664,3943a06f
36903,Gareth,Bale,Bale,,,,,543,,,2251,a58bb1e1
37002,Rouwen,Hennings,Hennings,71,,,,,,,7060,17611373
37096,Lukasz,Fabianski,Fabianski,356,350,400,388,431,408,455,706,9328b835
37265,Alexis,Sánchez,Sánchez,12,14,295,240,,,,498,2c0f8e9e
37339,Ahmed,El Mohamady,El Mohamady,158,,,22,29,,,1685,615ef733
37388,Marcin,Wasilewski,Wasilewski,170,,,,,,,760,24249219
37402,Christian,Fuchs,Fuchs,168,192,216,163,218,,,749,a67a09fb
37572,Sergio,Agüero,Agüero,239,257,280,210,268,,,619,4d034881
37605,Mesut,Özil,Özil,14,16,13,15,1,,,499,16380240
37614,Mario,Vrancic,Vrancic,,,,282,,,,12,16fa6881
37642,Jonny,Evans,Evans,431,423,222,162,219,201,249,807,f8fcd2a5
37742,Younes,Kaboul,Kaboul,341,398,375,,,,,736,3680d723
37748,Bacary,Sagna,Sagna,224,,,,,,,625,6ef56efd
37869,Ryan,Shawcross,Shawcross,318,330,,,,,,886,285a3d44
37901,Dimitri,Payet,Payet,461,,,,,,,536,58ae47b2
37915,Hugo,Lloris,Lloris,380,375,351,340,383,353,425,637,8f62b6ee
37998,Bafétimbi,Gomis,Gomis,377,,,,,,,717,3d6686f9
