code,first_name,second_name,web_name,transfermarkt
484658,Kacper,Kozłowski,Kozłowski,554284
486672,Moisés,Caicedo Corozo,Caicedo,687626
486870,Frederik,Alves,Alves,542690
487117,Evan,Ferguson,Ferguson,648046
487835,Benjamin,Chrisene,Chrisene,670846
487836,Antwoine,Hackford,Hackford,670859
487838,Lewis,Hall,Hall,670858
488404,Facundo,Pellistri Rebollo,Pellistri,676318
489580,Calvin,Ramsay,Ramsay,633652
490094,Tim,Iroegbunam,Iroegbunam,696589
490098,Kaine,Hayden,Hayden,626888
490138,Jakub,Ojrzynski,Ojrzynski,540630
490145,Dane,Scarlett,Scarlett,670883
490146,Jay,Stansfield,Stansfield,696346
490161,Abu,Kamara,Kamara,696764
490503,Samuel,Edozie,Edozie,680806
490721,Hugo,Bueno López,Bueno,698678
490887,Zach,Awe,Awe,697282
491551,Thierry,Small,Small,746554
491556,Charlie,Whitaker,Whitaker,726992
491559,Isaac,Price,Price,612749
491785,Harvey,Vale,Vale,581675
492066,Niall,Huggins,Huggins,559801
492373,Charlie,Cresswell,Cresswell,597659
492374,Jack,Jenkins,Jenkins,734375
492777,Conor,Bradley,Bradley,624258
493105,Alejandro,Garnacho,Garnacho,811779
493250,Amad,Diallo,Diallo,536835
493928,Marcelo,Flores,Flores,668495
493934,Kwadwo,Baah,Baah,711247
495542,Niels,Nkounkou,Nkounkou,591193
496179,Alfie,Devine,Devine,728734
496185,Kaide,Gordon,Gordon,732119
496228,Sonny,Perkins,Perkins,670877
496661,Tyler,Dibling,Dibling,866655
497605,Liam,Gibbs,Gibbs,724785
498046,Salah-Eddine,Oulad M'hand,Oulad M'hand,559330
501468,Tayo,Adaramola,Adaramola,724529
501770,Ben,Nelson,Nelson,714458
501837,Yerson,Mosquera Valdelamar,Mosquera,716276
503300,Matthew,Cox,Cox,741236
503301,Omari,Hutchinson,Hutchinson,741238
505265,Cheikh,Diaby,Diaby,592988
510328,Stanley,Mills,Mills,801005
510362,Toti António,Gomes,Toti,606718
510363,Francisco Jorge,Tomás Oliveira,Chiquinho,695454
513789,Thanawat,Suengchitthawon,Suengchitthawon,427691
513852,Kris,Moore,Moore,746067
514229,Sam,Waller,Waller,733430
514356,Roméo,Lavia,Lavia,628451
